"disorder1","disorder2","overlap","odds_ratio","log10_p","p_value","FDR"
"OCD","ASD",318,2.16542927601269,27.116646660446,7.64457488959708e-28,3.21072145363077e-27
"OCD","ADHD",157,1.08451321761627,0.460216875375899,0.346563742308396,0.383044136235595
"OCD","SZ",306,2.54222363201769,36.3764063606059,4.20333147060961e-37,2.94233202942673e-36
"OCD","MDD",918,1.10358484807249,1.43098677119574,0.0370692013055206,0.0457913663185843
"OCD","BD",336,1.39732258558267,6.59109332078634,2.5639330418211e-07,4.72241827060116e-07
"OCD","AD",0,0,17.9553629772626,1.10824816973533e-18,3.32474450920598e-18
"ASD","ADHD",171,1.06645420183543,0.355957708243332,0.440597766990433,0.462627655339955
"ASD","SZ",239,1.60811328917784,9.19968270561478,6.31418488660895e-10,1.32597882618788e-09
"ASD","MDD",1043,1.16696150701325,3.19625690675114,0.000636418936132206,0.000890986510585088
"ASD","BD",325,1.1734551388033,1.89500356628702,0.0127349262346067,0.0167145906829213
"ASD","AD",0,0,19.8452905158341,1.42793843748797e-20,4.99778453120789e-20
"ADHD","SZ",150,1.1116569655327,0.638744469135395,0.22975000571682,0.26804167333629
"ADHD","MDD",891,1.20282279014129,3.79806230759574,0.000159198031157354,0.00023879704673603
"ADHD","BD",234,0.960040275704318,0.228938707041759,0.590284382457575,0.590284382457575
"ADHD","AD",0,0,16.6444045714767,2.2677513206055e-17,5.42965309909692e-17
"SZ","MDD",928,1.28383838967406,6.56887359822457,2.6985247260578e-07,4.72241827060116e-07
"SZ","BD",653,4.25925253155449,142.711190510666,1.94450690345876e-143,4.0834644972634e-142
"SZ","AD",0,0,16.6332047019232,2.32699418532725e-17,5.42965309909692e-17
"MDD","BD",1577,1.15914640276997,4.13962118334288,7.25068130505589e-05,0.000117126390312441
"MDD","AD",0,0,128.283694101293,5.20362388791514e-129,5.4638050823109e-128
"BD","AD",0,0,30.6331739805976,2.32715879914911e-31,1.22175836955328e-30
