"disorder1","disorder2","n_deg_d1","n_deg_d2","observed_overlap","expected_overlap","excess_overlap","sd_expected","z_score","empirical_p","log10_p","p_value","p_adj_fdr"
"AD","ADHD",492,1793,0,10.1902,-10.1902,3.10237794438104,-3.28464171119327,1,0,1,1
"AD","ASD",492,2135,0,12.1486,-12.1486,3.47875529287093,-3.49222609158405,1,0,1,1
"AD","BD",492,3298,0,18.7904,-18.7904,4.28622703416859,-4.38390217088554,1,0,1,1
"AD","MDD",492,12743,0,72.5472,-72.5472,7.81178449238015,-9.28689213978761,1,0,1,1
"AD","OCD",492,1929,0,11.0564,-11.0564,3.33182221132064,-3.31842436323082,1,0,1,1
"AD","SZ",492,1819,0,10.3988,-10.3988,3.16091075979159,-3.28981132029353,1,0,1,1
"ADHD","ASD",1793,2135,171,44.3372,126.6628,6.45258268638728,19.629783321834,0,300,1e-300,1e-300
"ADHD","BD",1793,3298,234,68.4566,165.5434,8.13049429170733,20.360803914326,0,300,1e-300,1e-300
"ADHD","MDD",1793,12743,891,264.5386,626.4614,14.9779096537374,41.8256895977258,0,300,1e-300,1e-300
"ADHD","OCD",1793,1929,157,40.0398,116.9602,6.12690164314305,19.0896160591866,0,300,1e-300,1e-300
"ADHD","SZ",1793,1819,150,37.7384,112.2616,5.97935748916191,18.7748600419834,0,300,1e-300,1e-300
"ASD","BD",2135,3298,325,81.6478,243.3522,8.77003636637691,27.7481403535541,0,300,1e-300,1e-300
"ASD","MDD",2135,12743,1043,314.9128,728.0872,15.9750754854978,45.5764481777227,0,300,1e-300,1e-300
"ASD","OCD",2135,1929,318,47.6924,270.3076,6.83724592408122,39.5345732772254,0,300,1e-300,1e-300
"ASD","SZ",2135,1819,239,44.9446,194.0554,6.47582566964404,29.9661247691781,0,300,1e-300,1e-300
"BD","MDD",3298,12743,1577,486.6056,1090.3944,19.5166551592664,55.8699424210652,0,300,1e-300,1e-300
"BD","OCD",3298,1929,336,73.754,262.246,8.34471154936876,31.4266105483104,0,300,1e-300,1e-300
"BD","SZ",3298,1819,653,69.429,583.571,8.12540235512596,71.8205664771604,0,300,1e-300,1e-300
"MDD","OCD",12743,1929,918,284.5116,633.4884,15.5874968950082,40.6408036047706,0,300,1e-300,1e-300
"MDD","SZ",12743,1819,928,268.379,659.621,15.0914714160648,43.7081966240772,0,300,1e-300,1e-300
"OCD","SZ",1929,1819,306,40.6174,265.3826,6.19879845296265,42.811942026146,0,300,1e-300,1e-300
