"gene","degree","weighted_degree"
"ENSG00000100292",5008,11485
"ENSG00000160691",5008,11485
"ENSG00000168884",5008,11485
"ENSG00000130589",5008,10369
"ENSG00000133321",5008,10369
"ENSG00000151929",5008,10369
"ENSG00000170345",5008,10369
"ENSG00000067082",5008,10164
"ENSG00000145248",5008,10164
"ENSG00000019582",5008,10049
"ENSG00000106100",5008,10049
"ENSG00000117650",5008,10049
"ENSG00000120738",5008,10049
"ENSG00000120875",5008,10049
"ENSG00000136826",5008,10049
"ENSG00000169902",5008,10049
"ENSG00000169908",5008,10049
"ENSG00000186204",5008,10049
"ENSG00000197956",5008,10049
"ENSG00000198467",5008,10049
"ENSG00000090924",5008,9354
"ENSG00000076003",4972,9048
"ENSG00000080573",4972,9048
"ENSG00000081320",4972,9048
"ENSG00000085563",4972,9048
"ENSG00000095970",4972,9048
"ENSG00000099377",4972,9048
"ENSG00000101335",4972,9048
"ENSG00000112096",4972,9048
"ENSG00000112149",4972,9048
"ENSG00000116096",4972,9048
"ENSG00000122884",4972,9048
"ENSG00000125841",4972,9048
"ENSG00000126709",4972,9048
"ENSG00000130222",4972,9048
"ENSG00000131791",4972,9048
"ENSG00000132744",4972,9048
"ENSG00000138741",4972,9048
"ENSG00000140464",4972,9048
"ENSG00000142178",4972,9048
"ENSG00000157617",4972,9048
"ENSG00000163827",4972,9048
"ENSG00000163900",4972,9048
"ENSG00000164292",4972,9048
"ENSG00000168394",4972,9048
"ENSG00000173221",4972,9048
"ENSG00000173227",4972,9048
"ENSG00000173281",4972,9048
"ENSG00000177875",4972,9048
"ENSG00000182240",4972,9048
